family=dyl organism=gender_secret_female default=l_44_ar_dim | val n=5000 alpaca n=2500 train n=2500
l_38_ar_mlp_wd_0_001_lr_0_0001_ep_500      hsL      imend      AUROC full=0.7907 first500=0.6701 boot=0.7916±0.0111 | sweep=0.9893 || BA full=0.646 first500=0.561 sweep=0.957 | TPR/FPR full=0.983/0.691 sweep=0.984/0.070 | mean_rel_err=0.8637 | thr stored=-6.61 p99=-3.88 fpr@stored=0.3922
l_38_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     first      AUROC full=0.9793 first500=0.9717 boot=0.9791±0.0029 | sweep=0.9893 || BA full=0.537 first500=0.542 sweep=0.957 | TPR/FPR full=1.000/0.926 sweep=0.984/0.070 | mean_rel_err=0.5426 | thr stored=-6.61 p99=2.32 fpr@stored=0.9699
l_38_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     mean       AUROC full=0.9759 first500=0.9663 boot=0.9759±0.0038 | sweep=0.9893 || BA full=0.546 first500=0.540 sweep=0.957 | TPR/FPR full=1.000/0.909 sweep=0.984/0.070 | mean_rel_err=0.5405 | thr stored=-6.61 p99=0.57 fpr@stored=0.9430
l_38_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     last       AUROC full=0.9612 first500=0.9441 boot=0.9611±0.0046 | sweep=0.9893 || BA full=0.583 first500=0.550 sweep=0.957 | TPR/FPR full=0.996/0.831 sweep=0.984/0.070 | mean_rel_err=0.5412 | thr stored=-6.61 p99=-0.68 fpr@stored=0.7803
l_38_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     imend      AUROC full=0.7223 first500=0.6175 boot=0.7221±0.0135 | sweep=0.9893 || BA full=0.515 first500=0.524 sweep=0.957 | TPR/FPR full=0.114/0.083 sweep=0.984/0.070 | mean_rel_err=0.9082 | thr stored=-6.61 p99=-2.88 fpr@stored=0.0805
l_44_ar_dim                                hsL      first      AUROC full=0.9710 first500=0.9614 boot=0.9712±0.0042 | sweep=0.9817 || BA full=0.545 first500=0.581 sweep=0.952 | TPR/FPR full=1.000/0.910 sweep=0.966/0.062 | dir_cos=0.3269 | thr stored=-34.85 p99=2.72 fpr@stored=1.0000
l_44_ar_dim                                hsL      mean       AUROC full=0.9693 first500=0.9617 boot=0.9690±0.0042 | sweep=0.9817 || BA full=0.504 first500=0.508 sweep=0.952 | TPR/FPR full=1.000/0.993 sweep=0.966/0.062 | dir_cos=0.3342 | thr stored=-34.85 p99=2.72 fpr@stored=1.0000
l_44_ar_dim                                hsL      last       AUROC full=0.9562 first500=0.9448 boot=0.9562±0.0053 | sweep=0.9817 || BA full=0.503 first500=0.507 sweep=0.952 | TPR/FPR full=1.000/0.994 sweep=0.966/0.062 | dir_cos=0.3418 | thr stored=-34.85 p99=10.90 fpr@stored=1.0000
l_44_ar_dim                                hsL      imend      AUROC full=0.7118 first500=0.7080 boot=0.7127±0.0147 | sweep=0.9817 || BA full=0.500 first500=0.500 sweep=0.952 | TPR/FPR full=1.000/1.000 sweep=0.966/0.062 | dir_cos=0.1164 | thr stored=-34.85 p99=-10.46 fpr@stored=1.0000
l_44_ar_dim                                outL     first      AUROC full=0.9714 first500=0.9623 boot=0.9716±0.0039 | sweep=0.9817 || BA full=0.574 first500=0.630 sweep=0.952 | TPR/FPR full=1.000/0.852 sweep=0.966/0.062 | dir_cos=0.3499 | thr stored=-34.85 p99=0.73 fpr@stored=0.9959
l_44_ar_dim                                outL     mean       AUROC full=0.9703 first500=0.9636 boot=0.9707±0.0041 | sweep=0.9817 || BA full=0.505 first500=0.509 sweep=0.952 | TPR/FPR full=1.000/0.989 sweep=0.966/0.062 | dir_cos=0.3578 | thr stored=-34.85 p99=1.09 fpr@stored=1.0000
l_44_ar_dim                                outL     last       AUROC full=0.9560 first500=0.9446 boot=0.9562±0.0056 | sweep=0.9817 || BA full=0.505 first500=0.509 sweep=0.952 | TPR/FPR full=1.000/0.991 sweep=0.966/0.062 | dir_cos=0.3657 | thr stored=-34.85 p99=12.80 fpr@stored=1.0000
l_44_ar_dim                                outL     imend      AUROC full=0.7454 first500=0.7346 boot=0.7468±0.0132 | sweep=0.9817 || BA full=0.501 first500=0.502 sweep=0.952 | TPR/FPR full=1.000/0.998 sweep=0.966/0.062 | dir_cos=0.1248 | thr stored=-34.85 p99=-10.45 fpr@stored=0.9955
l_44_lm_0_001_ar_lr                        hsL      first      AUROC full=0.9750 first500=0.9619 boot=0.9743±0.0036 | sweep=0.9910 || BA full=0.926 first500=0.893 sweep=0.964 | TPR/FPR full=0.939/0.087 sweep=0.982/0.054 | mean_rel_err=0.5056 | thr stored=-12.86 p99=-12.80 fpr@stored=0.0103
l_44_lm_0_001_ar_lr                        hsL      mean       AUROC full=0.9671 first500=0.9508 boot=0.9670±0.0040 | sweep=0.9910 || BA full=0.911 first500=0.861 sweep=0.964 | TPR/FPR full=0.935/0.113 sweep=0.982/0.054 | mean_rel_err=0.5051 | thr stored=-12.86 p99=-13.72 fpr@stored=0.0041
l_44_lm_0_001_ar_lr                        hsL      last       AUROC full=0.9112 first500=0.8470 boot=0.9110±0.0069 | sweep=0.9910 || BA full=0.842 first500=0.758 sweep=0.964 | TPR/FPR full=0.866/0.181 sweep=0.982/0.054 | mean_rel_err=0.5076 | thr stored=-12.86 p99=-13.49 fpr@stored=0.0050
l_44_lm_0_001_ar_lr                        hsL      imend      AUROC full=0.6224 first500=0.5582 boot=0.6243±0.0152 | sweep=0.9910 || BA full=0.513 first500=0.509 sweep=0.964 | TPR/FPR full=0.092/0.067 sweep=0.982/0.054 | mean_rel_err=0.9629 | thr stored=-12.86 p99=-9.56 fpr@stored=0.0318
l_44_lm_0_001_ar_lr                        outL     first      AUROC full=0.9731 first500=0.9587 boot=0.9732±0.0039 | sweep=0.9910 || BA full=0.553 first500=0.521 sweep=0.964 | TPR/FPR full=0.996/0.891 sweep=0.982/0.054 | mean_rel_err=0.4910 | thr stored=-12.86 p99=-3.14 fpr@stored=0.8146
l_44_lm_0_001_ar_lr                        outL     mean       AUROC full=0.9670 first500=0.9516 boot=0.9671±0.0039 | sweep=0.9910 || BA full=0.558 first500=0.521 sweep=0.964 | TPR/FPR full=0.996/0.881 sweep=0.982/0.054 | mean_rel_err=0.4909 | thr stored=-12.86 p99=-4.37 fpr@stored=0.7713
l_44_lm_0_001_ar_lr                        outL     last       AUROC full=0.9264 first500=0.8821 boot=0.9263±0.0064 | sweep=0.9910 || BA full=0.577 first500=0.536 sweep=0.964 | TPR/FPR full=0.994/0.840 sweep=0.982/0.054 | mean_rel_err=0.4940 | thr stored=-12.86 p99=-4.60 fpr@stored=0.6854
l_44_lm_0_001_ar_lr                        outL     imend      AUROC full=0.6652 first500=0.5934 boot=0.6642±0.0145 | sweep=0.9910 || BA full=0.532 first500=0.515 sweep=0.964 | TPR/FPR full=0.188/0.123 sweep=0.982/0.054 | mean_rel_err=0.9748 | thr stored=-12.86 p99=-9.20 fpr@stored=0.0545
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      hsL      first      AUROC full=0.9748 first500=0.9641 boot=0.9746±0.0037 | sweep=0.9879 || BA full=0.503 first500=0.504 sweep=0.960 | TPR/FPR full=1.000/0.994 sweep=0.978/0.058 | mean_rel_err=0.5056 | thr stored=-8.37 p99=2.79 fpr@stored=0.9988
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      hsL      mean       AUROC full=0.9672 first500=0.9559 boot=0.9679±0.0042 | sweep=0.9879 || BA full=0.503 first500=0.504 sweep=0.960 | TPR/FPR full=1.000/0.994 sweep=0.978/0.058 | mean_rel_err=0.5051 | thr stored=-8.37 p99=4.82 fpr@stored=0.9988
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      hsL      last       AUROC full=0.9452 first500=0.9237 boot=0.9448±0.0052 | sweep=0.9879 || BA full=0.503 first500=0.504 sweep=0.960 | TPR/FPR full=1.000/0.994 sweep=0.978/0.058 | mean_rel_err=0.5076 | thr stored=-8.37 p99=7.49 fpr@stored=0.9988
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      hsL      imend      AUROC full=0.6704 first500=0.5741 boot=0.6704±0.0150 | sweep=0.9879 || BA full=0.541 first500=0.501 sweep=0.960 | TPR/FPR full=0.998/0.916 sweep=0.978/0.058 | mean_rel_err=0.9629 | thr stored=-8.37 p99=-1.85 fpr@stored=0.4459
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     first      AUROC full=0.9733 first500=0.9617 boot=0.9739±0.0036 | sweep=0.9879 || BA full=0.503 first500=0.503 sweep=0.960 | TPR/FPR full=1.000/0.995 sweep=0.978/0.058 | mean_rel_err=0.4910 | thr stored=-8.37 p99=4.92 fpr@stored=0.9988
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     mean       AUROC full=0.9652 first500=0.9537 boot=0.9651±0.0047 | sweep=0.9879 || BA full=0.502 first500=0.503 sweep=0.960 | TPR/FPR full=1.000/0.995 sweep=0.978/0.058 | mean_rel_err=0.4909 | thr stored=-8.37 p99=7.72 fpr@stored=0.9988
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     last       AUROC full=0.9463 first500=0.9290 boot=0.9459±0.0057 | sweep=0.9879 || BA full=0.502 first500=0.503 sweep=0.960 | TPR/FPR full=1.000/0.995 sweep=0.978/0.058 | mean_rel_err=0.4940 | thr stored=-8.37 p99=11.17 fpr@stored=0.9988
l_44_ar_mlp_wd_0_001_lr_0_0001_ep_500      outL     imend      AUROC full=0.7074 first500=0.6298 boot=0.7071±0.0139 | sweep=0.9879 || BA full=0.600 first500=0.512 sweep=0.960 | TPR/FPR full=0.976/0.776 sweep=0.978/0.058 | mean_rel_err=0.9748 | thr stored=-8.37 p99=-1.34 fpr@stored=0.4240
l_63_ar_dim                                hsL      first      AUROC full=0.7227 first500=0.7855 boot=0.7234±0.0131 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.1167 | thr stored=20744.02 p99=4514.41 fpr@stored=0.0000
l_63_ar_dim                                hsL      mean       AUROC full=0.8230 first500=0.8672 boot=0.8225±0.0113 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.1309 | thr stored=20744.02 p99=4520.20 fpr@stored=0.0000
l_63_ar_dim                                hsL      last       AUROC full=0.8754 first500=0.9017 boot=0.8750±0.0083 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.1464 | thr stored=20744.02 p99=4624.41 fpr@stored=0.0000
l_63_ar_dim                                hsL      imend      AUROC full=0.5200 first500=0.5235 boot=0.5186±0.0157 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=-0.0113 | thr stored=20744.02 p99=301.73 fpr@stored=0.0000
l_63_ar_dim                                outL     first      AUROC full=0.5705 first500=0.6846 boot=0.5700±0.0150 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.2234 | thr stored=20744.02 p99=11819.31 fpr@stored=0.0000
l_63_ar_dim                                outL     mean       AUROC full=0.6140 first500=0.7233 boot=0.6135±0.0161 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.2435 | thr stored=20744.02 p99=11805.24 fpr@stored=0.0000
l_63_ar_dim                                outL     last       AUROC full=0.6969 first500=0.7741 boot=0.6968±0.0140 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.2643 | thr stored=20744.02 p99=11805.24 fpr@stored=0.0000
l_63_ar_dim                                outL     imend      AUROC full=0.4990 first500=0.5718 boot=0.4998±0.0153 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.0246 | thr stored=20744.02 p99=1425.16 fpr@stored=0.0000
l_63_ar_dim                                postnorm first      AUROC full=0.7583 first500=0.8234 boot=0.7560±0.0119 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.2104 | thr stored=20744.02 p99=1350.09 fpr@stored=0.0000
l_63_ar_dim                                postnorm mean       AUROC full=0.8610 first500=0.8867 boot=0.8601±0.0102 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.2326 | thr stored=20744.02 p99=1365.70 fpr@stored=0.0000
l_63_ar_dim                                postnorm last       AUROC full=0.8804 first500=0.9095 boot=0.8798±0.0086 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.2548 | thr stored=20744.02 p99=1493.98 fpr@stored=0.0000
l_63_ar_dim                                postnorm imend      AUROC full=0.4930 first500=0.5658 boot=0.4912±0.0150 | sweep=0.6296 || BA full=0.500 first500=0.500 sweep=0.501 | TPR/FPR full=0.000/0.000 sweep=0.002/0.000 | dir_cos=0.0093 | thr stored=20744.02 p99=303.73 fpr@stored=0.0000
l_63_lm_0_001_ar_lr                        hsL      first      AUROC full=0.8685 first500=0.8000 boot=0.8675±0.0092 | sweep=0.9868 || BA full=0.524 first500=0.509 sweep=0.960 | TPR/FPR full=0.992/0.943 sweep=0.974/0.054 | mean_rel_err=0.7778 | thr stored=-9.74 p99=24.05 fpr@stored=0.9046
l_63_lm_0_001_ar_lr                        hsL      mean       AUROC full=0.8914 first500=0.8585 boot=0.8921±0.0080 | sweep=0.9868 || BA full=0.525 first500=0.509 sweep=0.960 | TPR/FPR full=0.991/0.941 sweep=0.974/0.054 | mean_rel_err=0.7763 | thr stored=-9.74 p99=32.93 fpr@stored=0.9013
l_63_lm_0_001_ar_lr                        hsL      last       AUROC full=0.8878 first500=0.8672 boot=0.8889±0.0089 | sweep=0.9868 || BA full=0.525 first500=0.509 sweep=0.960 | TPR/FPR full=0.991/0.941 sweep=0.974/0.054 | mean_rel_err=0.7768 | thr stored=-9.74 p99=44.10 fpr@stored=0.9013
l_63_lm_0_001_ar_lr                        hsL      imend      AUROC full=0.6310 first500=0.6342 boot=0.6298±0.0152 | sweep=0.9868 || BA full=0.504 first500=0.507 sweep=0.960 | TPR/FPR full=0.999/0.990 sweep=0.974/0.054 | mean_rel_err=1.1373 | thr stored=-9.74 p99=27.35 fpr@stored=0.9942
l_63_lm_0_001_ar_lr                        outL     first      AUROC full=0.8064 first500=0.7003 boot=0.8060±0.0113 | sweep=0.9868 || BA full=0.527 first500=0.510 sweep=0.960 | TPR/FPR full=0.982/0.929 sweep=0.974/0.054 | mean_rel_err=0.7466 | thr stored=-9.74 p99=35.05 fpr@stored=0.8881
l_63_lm_0_001_ar_lr                        outL     mean       AUROC full=0.8584 first500=0.8097 boot=0.8592±0.0087 | sweep=0.9868 || BA full=0.527 first500=0.509 sweep=0.960 | TPR/FPR full=0.982/0.928 sweep=0.974/0.054 | mean_rel_err=0.7422 | thr stored=-9.74 p99=45.04 fpr@stored=0.8881
l_63_lm_0_001_ar_lr                        outL     last       AUROC full=0.8613 first500=0.8366 boot=0.8608±0.0094 | sweep=0.9868 || BA full=0.527 first500=0.509 sweep=0.960 | TPR/FPR full=0.981/0.928 sweep=0.974/0.054 | mean_rel_err=0.7427 | thr stored=-9.74 p99=59.35 fpr@stored=0.8902
l_63_lm_0_001_ar_lr                        outL     imend      AUROC full=0.5232 first500=0.6003 boot=0.5231±0.0132 | sweep=0.9868 || BA full=0.526 first500=0.584 sweep=0.960 | TPR/FPR full=0.850/0.799 sweep=0.974/0.054 | mean_rel_err=1.1925 | thr stored=-9.74 p99=30.13 fpr@stored=0.8559
l_63_lm_0_001_ar_lr                        postnorm first      AUROC full=0.8081 first500=0.7008 boot=0.8069±0.0099 | sweep=0.9868 || BA full=0.500 first500=0.500 sweep=0.960 | TPR/FPR full=1.000/1.000 sweep=0.974/0.054 | mean_rel_err=0.8868 | thr stored=-9.74 p99=53.54 fpr@stored=1.0000
l_63_lm_0_001_ar_lr                        postnorm mean       AUROC full=0.8590 first500=0.8105 boot=0.8601±0.0094 | sweep=0.9868 || BA full=0.500 first500=0.500 sweep=0.960 | TPR/FPR full=1.000/1.000 sweep=0.974/0.054 | mean_rel_err=0.8885 | thr stored=-9.74 p99=56.44 fpr@stored=1.0000
l_63_lm_0_001_ar_lr                        postnorm last       AUROC full=0.8614 first500=0.8349 boot=0.8612±0.0096 | sweep=0.9868 || BA full=0.500 first500=0.500 sweep=0.960 | TPR/FPR full=1.000/1.000 sweep=0.974/0.054 | mean_rel_err=0.8905 | thr stored=-9.74 p99=60.71 fpr@stored=1.0000
l_63_lm_0_001_ar_lr                        postnorm imend      AUROC full=0.5192 first500=0.5859 boot=0.5192±0.0144 | sweep=0.9868 || BA full=0.500 first500=0.500 sweep=0.960 | TPR/FPR full=1.000/1.000 sweep=0.974/0.054 | mean_rel_err=1.0304 | thr stored=-9.74 p99=48.48 fpr@stored=1.0000
l_63_ar_mlp_wd_0_001_lr_0_001_ep_250       hsL      first      AUROC full=0.9474 first500=0.9285 boot=0.9478±0.0060 | sweep=0.9865 || BA full=0.500 first500=0.500 sweep=0.966 | TPR/FPR full=0.000/0.000 sweep=0.970/0.038 | mean_rel_err=0.7778 | thr stored=-7.42 p99=-53.56 fpr@stored=0.0000
l_63_ar_mlp_wd_0_001_lr_0_001_ep_250       hsL      mean       AUROC full=0.9627 first500=0.9616 boot=0.9625±0.0052 | sweep=0.9865 || BA full=0.500 first500=0.500 sweep=0.966 | TPR/FPR full=0.000/0.000 sweep=0.970/0.038 | mean_rel_err=0.7763 | thr stored=-7.42 p99=-51.25 fpr@stored=0.0000
l_63_ar_mlp_wd_0_001_lr_0_001_ep_250       hsL      last       AUROC full=0.9521 first500=0.9584 boot=0.9516±0.0051 | sweep=0.9865 || BA full=0.500 first500=0.500 sweep=0.966 | TPR/FPR full=0.000/0.000 sweep=0.970/0.038 | mean_rel_err=0.7768 | thr stored=-7.42 p99=-46.14 fpr@stored=0.0000
l_63_ar_mlp_wd_0_001_lr_0_001_ep_250       hsL      imend      AUROC full=0.5180 first500=0.4798 boot=0.5187±0.0135 | sweep=0.9865 || BA full=0.500 first500=0.500 sweep=0.966 | TPR/FPR full=0.000/0.000 sweep=0.970/0.038 | mean_rel_err=1.1373 | thr stored=-7.42 p99=-52.61 fpr@stored=0.0000
l_63_ar_mlp_wd_0_001_lr_0_001_ep_250       outL     first      AUROC full=0.9484 first500=0.9418 boot=0.9488±0.0065 | sweep=0.9865 || BA full=0.501 first500=0.500 sweep=0.966 | TPR/FPR full=0.001/0.000 sweep=0.970/0.038 | mean_rel_err=0.7466 | thr stored=-7.42 p99=-31.58 fpr@stored=0.0000
l_63_ar_mlp_wd_0_001_lr_0_001_ep_250       outL     mean       AUROC full=0.9593 first500=0.9598 boot=0.9594±0.0045 | sweep=0.9865 || BA full=0.502 first500=0.502 sweep=0.966 | TPR/FPR full=0.003/0.000 sweep=0.970/0.038 | mean_rel_err=0.7422 | thr stored=-7.42 p99=-25.93 fpr@stored=0.0000
l_63_ar_mlp_wd_0_001_lr_0_001_ep_250       outL     last       AUROC full=0.9259 first500=0.9444 boot=0.9261±0.0067 | sweep=0.9865 || BA full=0.718 first500=0.708 sweep=0.966 | TPR/FPR full=0.445/0.009 sweep=0.970/0.038 | mean_rel_err=0.7427 | thr stored=-7.42 p99=-9.07 fpr@stored=0.0041
