family=apollo organism=gender_secret_female default=l_38_lm_500000_ar_lr | val n=2500 alpaca n=2500 train n=None
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       outL     mean       AUROC full=0.7570 first500=0.7337 boot=0.7576±0.0099 | sweep=0.7003 || BA full=0.539 first500=0.540 sweep=0.535 | TPR/FPR full=0.082/0.003 sweep=0.082/0.012 | thr stored=-0.11 p99=-0.11 fpr@stored=0.0097
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       outL     mean_imend AUROC full=0.7615 first500=0.7377 boot=0.7616±0.0095 | sweep=0.7003 || BA full=0.537 first500=0.539 sweep=0.535 | TPR/FPR full=0.078/0.003 sweep=0.082/0.012 | thr stored=-0.11 p99=-0.19 fpr@stored=0.0081
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       outL     last       AUROC full=0.8810 first500=0.8804 boot=0.8807±0.0070 | sweep=0.7003 || BA full=0.705 first500=0.710 sweep=0.535 | TPR/FPR full=0.443/0.032 sweep=0.082/0.012 | thr stored=-0.11 p99=0.89 fpr@stored=0.0427
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       outL     first      AUROC full=0.6558 first500=0.6137 boot=0.6556±0.0112 | sweep=0.7003 || BA full=0.586 first500=0.567 sweep=0.535 | TPR/FPR full=0.289/0.117 sweep=0.082/0.012 | thr stored=-0.11 p99=0.97 fpr@stored=0.0415
l_38_ar_dim                                hsL      mean       AUROC full=0.9872 first500=0.9881 boot=0.9872±0.0018 | sweep=0.9688 || BA full=0.745 first500=0.759 sweep=0.708 | TPR/FPR full=0.494/0.005 sweep=0.420/0.004 | thr stored=-15.24 p99=-14.08 fpr@stored=0.0117
l_38_ar_dim                                hsL      mean_imend AUROC full=0.9870 first500=0.9879 boot=0.9868±0.0018 | sweep=0.9688 || BA full=0.727 first500=0.746 sweep=0.708 | TPR/FPR full=0.458/0.005 sweep=0.420/0.004 | thr stored=-15.24 p99=-14.55 fpr@stored=0.0105
l_38_ar_dim                                hsL      last       AUROC full=0.9858 first500=0.9879 boot=0.9857±0.0019 | sweep=0.9688 || BA full=0.566 first500=0.569 sweep=0.708 | TPR/FPR full=0.132/0.000 sweep=0.420/0.004 | thr stored=-15.24 p99=-81.95 fpr@stored=0.0004
l_38_ar_dim                                hsL      first      AUROC full=0.9564 first500=0.9575 boot=0.9566±0.0048 | sweep=0.9688 || BA full=0.590 first500=0.592 sweep=0.708 | TPR/FPR full=0.181/0.002 sweep=0.420/0.004 | thr stored=-15.24 p99=-58.70 fpr@stored=0.0004
l_38_ar_dim                                outL     mean       AUROC full=0.9863 first500=0.9872 boot=0.9863±0.0017 | sweep=0.9688 || BA full=0.696 first500=0.714 sweep=0.708 | TPR/FPR full=0.395/0.003 sweep=0.420/0.004 | thr stored=-15.24 p99=-15.23 fpr@stored=0.0101
l_38_ar_dim                                outL     mean_imend AUROC full=0.9861 first500=0.9870 boot=0.9861±0.0018 | sweep=0.9688 || BA full=0.683 first500=0.701 sweep=0.708 | TPR/FPR full=0.369/0.003 sweep=0.420/0.004 | thr stored=-15.24 p99=-16.79 fpr@stored=0.0093
l_38_ar_dim                                outL     last       AUROC full=0.9865 first500=0.9885 boot=0.9866±0.0023 | sweep=0.9688 || BA full=0.542 first500=0.544 sweep=0.708 | TPR/FPR full=0.085/0.000 sweep=0.420/0.004 | thr stored=-15.24 p99=-85.07 fpr@stored=0.0004
l_38_ar_dim                                outL     first      AUROC full=0.9702 first500=0.9710 boot=0.9701±0.0039 | sweep=0.9688 || BA full=0.555 first500=0.560 sweep=0.708 | TPR/FPR full=0.109/0.000 sweep=0.420/0.004 | thr stored=-15.24 p99=-66.57 fpr@stored=0.0004
